chipid@08000000			→ chipid
gic500@0c000000			→ gic500
gic_cpu@0c400000 		→ gic_cpu
dbg_cti@0d020000 		→ dbg_cti
dbg_etr@0d030000 		→ dbg_etr
dbg_funnel@0d040000 		→ dbg_funnel
dbg_dem@0d0a0000 		→ dbg_dem
dbg_mdsys1@0d0c0000 		→ dbg_mdsys1
dbg_apmcu_mp0@0d400000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d410000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d420000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d430000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d440000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d510000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d520000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d530000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d540000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d610000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d620000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d630000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d640000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d710000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d720000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d730000 		→ dbg_apmcu_mp0
dbg_apmcu_mp0@0d740000 		→ dbg_apmcu_mp0
dbg_apmcu_mp1@0d800000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d810000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d820000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d830000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d840000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d910000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d920000	 	→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d930000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0d940000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0da10000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0da20000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0da30000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0da40000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0db10000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0db20000		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0db30000 		→ dbg_apmcu_mp1
dbg_apmcu_mp1@0db40000 		→ dbg_apmcu_mp1
io_cfg_lt@10002000 		→ io_cfg_lt
iocfg_0@10002000 		→ iocfg_0
io_cfg_lm@10002200 		→ io_cfg_lm
iocfg_1@10002200 		→ iocfg_1
io_cfg_lb@10002400 		→ io_cfg_lb
iocfg_2@10002400 		→ iocfg_2
io_cfg_bl@10002600 		→ io_cfg_bl
iocfg_3@10002600 	 	→ iocfg_3
io_cfg_rr@10002800 		→ io_cfg_rr
